date,Binance,Bitmex,Huobi
2020-06-11T19:40,61499347,31554934,43250310
2020-06-11T19:50,61802592,31387894,43252030
2020-06-11T20:00,61802592,61802592,43327830
2020-06-11T20:10,61802492,61802492,42724850
2020-06-11T20:20,62099168,62099168,42575210
2020-06-11T20:30,62099168,62099168,42590890
2020-06-11T20:40,62294024,62294024,42596500
2020-06-11T20:50,61741874,61741874,42712290
2020-06-11T21:00,61741874,61741874,42430290
2020-06-11T21:10,61918127,32446644,42449480
2020-06-11T21:20,61653375,32351430,42324450
2020-06-11T21:30,61653375,32656218,42237120
2020-06-11T21:40,61870142,61870142,42312410
2020-06-11T21:50,62086119,62086119,42281830
2020-06-11T22:00,62086119,62086119,42553240
2020-06-11T22:10,62208980,62208980,42771400
2020-06-11T22:20,62223680,62223680,42773800
2020-06-11T22:30,62223680,62223680,42765320
2020-06-11T22:40,62218474,62218474,42714710
2020-06-11T22:50,62542619,62542619,42786040
2020-06-11T23:00,62542619,62542619,43070810
2020-06-11T23:10,62613827,62613827,43070090
2020-06-11T23:20,62798854,62798854,43374820
2020-06-11T23:30,62798854,62798854,43375450
2020-06-11T23:40,62864981,62864981,43451650
2020-06-11T23:50,62718134,32288306,43660600
2020-06-12T00:00,62718134,32692788,43969830
2020-06-12T00:10,62464545,33168072,44298660
2020-06-12T00:20,62217364,33209964,44083830
2020-06-12T00:30,62217364,33272386,44403110
2020-06-12T00:40,62298180,33488460,44685850
2020-06-12T00:50,62685785,33240566,44599340
2020-06-12T01:00,62685785,33328922,44528620
2020-06-12T01:10,62331354,62331354,44406150
2020-06-12T01:20,62435373,62435373,44538510
2020-06-12T01:30,62435373,62435373,44428970
2020-06-12T01:40,62459054,62459054,44242220
2020-06-12T01:50,62699555,62699555,44367670
2020-06-12T02:00,62699555,62699555,44235500
2020-06-12T02:10,62859023,62859023,44144370
2020-06-12T02:20,62843270,33388308,44293450
2020-06-12T02:30,62843270,33354274,44052910
2020-06-12T02:40,62776672,33352596,43941700
2020-06-12T02:50,62759254,33310808,44004120
2020-06-12T03:00,62759254,33090688,44291860
2020-06-12T03:10,62829944,32861350,43901240
2020-06-12T03:20,63170898,33016604,44159200
2020-06-12T03:30,63170898,33057344,43934160
2020-06-12T03:40,63421103,33026374,43725870
2020-06-12T03:50,63485071,32816226,44101160
2020-06-12T04:00,63485071,32876578,44135090
2020-06-12T04:10,63872070,32875122,44166330
2020-06-12T04:20,63718747,32911302,43968970
2020-06-12T04:30,63718747,32949210,44098100
2020-06-12T04:40,63817407,63817407,44182610
2020-06-12T04:50,64080432,64080432,44039200
2020-06-12T05:00,64080432,32893620,44169610
2020-06-12T05:10,64115304,32836230,44520870
2020-06-12T05:20,64374790,32748466,44341540
2020-06-12T05:30,64374790,33116940,44541430
2020-06-12T05:40,64347827,33024058,44319760
2020-06-12T05:50,64353544,33006632,44509640
2020-06-12T06:00,64353544,64353544,44227390
2020-06-12T06:10,64265606,64265606,43802320
2020-06-12T06:20,64078811,64078811,43940240
2020-06-12T06:30,64078811,64078811,43940570
2020-06-12T06:40,64007316,64007316,43992050
2020-06-12T06:50,64052786,64052786,43699930
2020-06-12T07:00,64052786,64052786,43824600
2020-06-12T07:10,64030849,64030849,43865510
2020-06-12T07:20,64078530,64078530,43913290
2020-06-12T07:30,64078530,31826742,43857950
2020-06-12T07:40,63988893,31802128,44049850
2020-06-12T07:50,63709912,31548978,44074280
2020-06-12T08:00,63709912,63709912,44444030
2020-06-12T08:10,64214445,64214445,44361770
2020-06-12T08:20,63438491,63438491,44565770
2020-06-12T08:30,63438491,63438491,44519340
2020-06-12T08:40,63402279,63402279,44324120
2020-06-12T08:50,63351409,63351409,44299640
2020-06-12T09:00,63351409,63351409,44098810
2020-06-12T09:10,63167375,63167375,44251160
2020-06-12T09:20,63150262,63150262,44205710
2020-06-12T09:30,63150262,63150262,44388770
2020-06-12T09:40,63005253,63005253,44642600
2020-06-12T09:50,62807521,62807521,44635650
2020-06-12T10:00,62807521,62807521,44532750
2020-06-12T10:10,62602689,30953232,44394710
2020-06-12T10:20,62764089,30938666,44345370
2020-06-12T10:30,62764089,30967014,44425720
2020-06-12T10:40,62845642,31003572,44496480
2020-06-12T10:50,62690526,31019798,44631910
2020-06-12T11:00,62690526,31056290,44581320
2020-06-12T11:10,62536484,30937892,44130240
2020-06-12T11:20,62664405,31001204,43902560
2020-06-12T11:30,62664405,62664405,43846390
2020-06-12T11:40,62707911,62707911,43899950
2020-06-12T11:50,62495987,62495987,43865700
2020-06-12T12:00,62495987,62495987,43789980
2020-06-12T12:10,62337179,62337179,43786670
2020-06-12T12:20,61736641,61736641,43696500
2020-06-12T12:30,61736641,61736641,43693490
2020-06-12T12:40,61880924,61880924,43439160
2020-06-12T12:50,61937188,30317650,43327410
2020-06-12T13:00,61937188,30394324,42975420
2020-06-12T13:10,61885908,30416130,43058730
2020-06-12T13:20,61972221,30338478,43107480
2020-06-12T13:30,61972221,30187128,43110930
2020-06-12T13:40,62201945,30238868,42754040
2020-06-12T13:50,62494306,30612064,42494070
2020-06-12T14:00,62494306,30151438,41765480
2020-06-12T14:10,61317843,29779134,42253270
2020-06-12T14:20,61062203,29596154,41923790
2020-06-12T14:30,61062203,29681246,41819830
2020-06-12T14:40,61060251,29537248,41650350
2020-06-12T14:50,61060251,61060251,42148480
2020-06-12T15:00,61197012,61197012,42250010
2020-06-12T15:10,60961461,60961461,42397510
2020-06-12T15:20,60961461,29095118,42315150
2020-06-12T15:30,60982848,28985816,42389570
2020-06-12T15:40,61019179,28932840,42623920
2020-06-12T15:50,61019179,28881518,42393770
2020-06-12T16:00,61268747,28814004,42569080
2020-06-12T16:10,60996078,28741478,42283530
2020-06-12T16:20,61070688,28788764,42325470
2020-06-12T16:30,61070688,28743876,42472890
2020-06-12T16:40,60822733,28939728,42334350
2020-06-12T16:50,60903256,28975142,42266370
2020-06-12T17:00,60903256,28864018,41882210
2020-06-12T17:10,60942644,28857522,41863330
2020-06-12T17:20,61091426,61091426,41915100
2020-06-12T17:30,61091426,61091426,41904320
2020-06-12T17:40,61027273,61027273,41849730
2020-06-12T17:50,60261490,60261490,41725320
2020-06-12T18:00,60261490,28435374,41762260
2020-06-12T18:10,60192468,60192468,41789830
2020-06-12T18:20,60192468,60192468,41598800
2020-06-12T18:30,60047963,60047963,41576300
2020-06-12T18:40,60178620,60178620,41553630
2020-06-12T18:50,60178620,60178620,41558500
2020-06-12T19:00,59995000,59995000,41733260
2020-06-12T19:10,60145991,60145991,41731580
