date,value
2020-06-09T01:28:10,4685070
2020-06-09T01:29:15,4685050
2020-06-09T01:30:21,4685110
2020-06-09T01:31:26,4684770
2020-06-09T01:32:31,4684780
2020-06-09T01:33:36,4684840
2020-06-09T01:34:42,4684810
2020-06-09T01:35:47,4686940
2020-06-09T01:36:54,4686940
2020-06-09T01:37:59,4686920
2020-06-09T01:39:05,4686940
2020-06-09T01:40:10,4686960
2020-06-09T01:41:15,4688640
2020-06-09T01:42:20,4689300
2020-06-09T01:43:26,4689280
2020-06-09T01:44:31,4688780
2020-06-09T01:45:36,4688810
2020-06-09T01:46:42,4688770
2020-06-09T01:47:47,4694060
2020-06-09T01:48:52,4687500
2020-06-09T01:49:57,4687620
2020-06-09T01:51:03,4685750
2020-06-09T01:52:08,4685540
2020-06-09T01:53:13,4685600
2020-06-09T01:54:19,4685560
2020-06-09T01:55:24,4690670
2020-06-09T01:56:29,4690540
2020-06-09T01:57:35,4690610
2020-06-09T01:58:40,4690670
2020-06-09T01:59:46,4702250
2020-06-09T02:00:51,4702290
2020-06-09T02:01:56,4704540
2020-06-09T02:03:02,4704600
2020-06-09T02:04:07,4704930
2020-06-09T02:05:12,4703050
2020-06-09T02:06:17,4702570
2020-06-09T02:07:23,4699890
2020-06-09T02:08:28,4699410
2020-06-09T02:09:33,4699440
2020-06-09T02:10:38,4699090
2020-06-09T02:11:44,4698620
2020-06-09T02:12:49,4698510
2020-06-09T02:13:55,4698360
2020-06-09T02:15:00,4698460
2020-06-09T02:16:05,4698430
2020-06-09T02:17:11,4698490
2020-06-09T02:18:16,4698550
2020-06-09T02:19:21,4698440
2020-06-09T02:20:27,4698390
2020-06-09T02:21:32,4698420
2020-06-09T02:22:37,4698340
2020-06-09T02:23:42,4697960
2020-06-09T02:24:48,4697980
2020-06-09T02:25:53,4697320
2020-06-09T02:26:58,4697360
