date,Binance,Huobi
2020-06-12T08:10,31890,31890
2020-06-12T08:20,31928,31928
2020-06-12T08:30,32067,32067
2020-06-12T08:40,32067,32067
2020-06-12T08:50,32025,32025
2020-06-12T09:00,32025,32025
2020-06-12T09:10,32025,32025
2020-06-12T09:20,32134,32134
2020-06-12T09:30,32051,32051
2020-06-12T09:40,32051,32051
2020-06-12T09:50,32090,32090
2020-06-12T10:00,32116,32116
2020-06-12T10:10,32116,32116
2020-06-12T10:20,31886,31886
2020-06-12T10:30,31889,31889
2020-06-12T10:40,31889,31889
2020-06-12T10:50,32015,32015
2020-06-12T11:00,31943,31943
2020-06-12T11:10,31838,31838
2020-06-12T11:20,31838,31838
2020-06-12T11:30,31895,31895
2020-06-12T11:40,31895,31895
2020-06-12T11:50,32080,32080
2020-06-12T12:00,32093,32093
2020-06-12T12:10,32093,32093
2020-06-12T12:20,31927,31927
2020-06-12T12:30,31837,31837
2020-06-12T12:40,31837,31837
2020-06-12T12:50,31734,31734
2020-06-12T13:00,31833,31833
2020-06-12T13:10,31833,31833
2020-06-12T13:20,31816,31816
2020-06-12T13:30,31750,31750
2020-06-12T13:40,31750,31750
2020-06-12T13:50,32000,32000
2020-06-12T14:00,31998,31998
2020-06-12T14:10,31998,31998
2020-06-12T14:20,31221,31221
2020-06-12T14:30,31211,31211
2020-06-12T14:40,31211,31211
2020-06-12T14:50,31304,31304
2020-06-12T15:00,31468,31468
2020-06-12T15:10,31468,31468
2020-06-12T15:20,31888,31888
2020-06-12T15:30,31701,31701
2020-06-12T15:40,31701,31701
2020-06-12T15:50,31516,31516
2020-06-12T16:00,31501,31501
2020-06-12T16:10,31501,31501
2020-06-12T16:20,31730,31730
2020-06-12T16:30,31523,31523
2020-06-12T16:40,31523,31523
2020-06-12T16:50,31673,31673
2020-06-12T17:00,31724,31724
2020-06-12T17:10,31724,31724
2020-06-12T17:20,31811,31811
2020-06-12T17:30,31810,31810
2020-06-12T17:40,31810,31810
2020-06-12T17:50,31611,31611
2020-06-12T18:00,31622,31622
2020-06-12T18:10,31622,31622
2020-06-12T18:20,31853,31853
2020-06-12T18:30,31836,31836
2020-06-12T18:40,31836,31836
2020-06-12T18:50,31551,31551
2020-06-12T19:00,31464,31464
2020-06-12T19:10,31464,31464
2020-06-11T19:10,14870,14870
2020-06-11T19:20,14891,14891
2020-06-11T19:30,14865,14865
2020-06-11T19:40,14950,14950
2020-06-11T19:50,14873,14873
2020-06-11T20:00,14873,14873
2020-06-11T20:10,14949,14949
2020-06-11T20:20,14838,14838
2020-06-11T20:30,14833,14833
2020-06-11T20:40,14789,14789
2020-06-11T20:50,14784,14784
2020-06-11T21:00,14721,14721
2020-06-11T21:10,14733,14733
2020-06-11T21:20,14704,14704
2020-06-11T21:30,14738,14738
2020-06-11T21:40,14759,14759
2020-06-11T21:50,14810,14810
2020-06-11T22:00,14823,14823
2020-06-11T22:10,14857,14857
2020-06-11T22:20,14824,14824
2020-06-11T22:30,14834,14834
2020-06-11T22:40,14873,14873
2020-06-11T22:50,14903,14903
2020-06-11T23:00,14863,14863
2020-06-11T23:10,14956,14956
2020-06-11T23:20,15018,15018
2020-06-11T23:30,15034,15034
2020-06-11T23:40,15015,15015
2020-06-11T23:50,15096,15096
2020-06-12T00:00,15369,15369
2020-06-12T00:10,15518,15518
2020-06-12T00:20,15541,15541
2020-06-12T00:30,15478,15478
2020-06-12T00:40,15504,15504
2020-06-12T00:50,15676,15676
2020-06-12T01:00,15800,15800
2020-06-12T01:10,15770,15770
2020-06-12T01:20,15882,15882
2020-06-12T01:30,16023,16023
2020-06-12T01:40,15983,15983
2020-06-12T01:50,15975,15975
2020-06-12T02:00,15823,15823
2020-06-12T02:10,15664,15664
2020-06-12T02:20,15643,15643
2020-06-12T02:30,15688,15688
2020-06-12T02:40,15746,15746
2020-06-12T02:50,15720,15720
2020-06-12T03:00,15639,15639
2020-06-12T03:10,15719,15719
2020-06-12T03:20,15624,15624
2020-06-12T03:30,15568,15568
2020-06-12T03:40,15527,15527
2020-06-12T03:50,15509,15509
2020-06-12T04:00,15514,15514
2020-06-12T04:10,15473,15473
2020-06-12T04:20,15514,15514
2020-06-12T04:30,15519,15519
2020-06-12T04:40,15566,15566
2020-06-12T04:50,15490,15490
2020-06-12T05:00,15533,15533
2020-06-12T05:10,15538,15538
2020-06-12T05:20,15617,15617
2020-06-12T05:30,15525,15525
2020-06-12T05:40,15444,15444
2020-06-12T05:50,15503,15503
2020-06-12T06:00,15501,15501
2020-06-12T06:10,15569,15569
2020-06-12T06:20,15540,15540
2020-06-12T06:30,15584,15584
2020-06-12T06:40,15629,15629
2020-06-12T06:50,15673,15673
2020-06-12T07:00,15685,15685
2020-06-12T07:10,15684,15684
2020-06-12T07:20,15626,15626
2020-06-12T07:30,15532,15532
2020-06-12T07:40,15668,15668
2020-06-12T07:50,15751,15751
2020-06-12T08:00,15683,15683
2020-06-12T08:10,15658,15658
2020-06-12T08:20,15666,15666
2020-06-12T08:30,15666,15666
2020-06-12T08:40,15680,15680
2020-06-12T08:50,15642,15642
2020-06-12T09:00,15682,15682
2020-06-12T09:10,15709,15709
2020-06-12T09:20,15747,15747
2020-06-12T09:30,15698,15698
2020-06-12T09:40,15712,15712
2020-06-12T09:50,15675,15675
2020-06-12T10:00,15688,15688
2020-06-12T10:10,15668,15668
2020-06-12T10:20,15719,15719
2020-06-12T10:30,15712,15712
2020-06-12T10:40,15785,15785
2020-06-12T10:50,15812,15812
2020-06-12T11:00,15823,15823
2020-06-12T11:10,15761,15761
2020-06-12T11:20,15675,15675
2020-06-12T11:30,15707,15707
2020-06-12T11:40,15900,15900
2020-06-12T11:50,15896,15896
2020-06-12T12:00,15831,15831
2020-06-12T12:10,15796,15796
2020-06-12T12:20,15883,15883
2020-06-12T12:30,15979,15979
2020-06-12T12:40,16003,16003
2020-06-12T12:50,16032,16032
2020-06-12T13:00,16062,16062
2020-06-12T13:10,16030,16030
2020-06-12T13:20,16135,16135
2020-06-12T13:30,16046,16046
2020-06-12T13:40,15933,15933
2020-06-12T13:50,16055,16055
2020-06-12T14:00,15674,15674
2020-06-12T14:10,15899,15899
2020-06-12T14:20,15891,15891
2020-06-12T14:30,15917,15917
2020-06-12T14:40,15983,15983
2020-06-12T14:50,16037,16037
2020-06-12T15:00,15990,15990
2020-06-12T15:10,16092,16092
2020-06-12T15:20,16001,16001
2020-06-12T15:30,16070,16070
2020-06-12T15:40,16143,16143
2020-06-12T15:50,16129,16129
2020-06-12T16:00,16192,16192
2020-06-12T16:10,16086,16086
2020-06-12T16:20,16065,16065
2020-06-12T16:30,16113,16113
2020-06-12T16:40,16206,16206
2020-06-12T16:50,16256,16256
2020-06-12T17:00,16191,16191
2020-06-12T17:10,16262,16262
2020-06-12T17:20,16249,16249
2020-06-12T17:30,16400,16400
2020-06-12T17:40,16196,16196
2020-06-12T17:50,16193,16193
2020-06-12T18:00,16110,16110
2020-06-12T18:10,16007,16007
2020-06-12T18:20,15960,15960
2020-06-12T18:30,16009,16009
2020-06-12T18:40,15909,15909
2020-06-12T18:50,15934,15934
2020-06-12T19:00,15921,15921
2020-06-12T19:10,15796,15796
