date,value
2020-06-04T00:49:29,4955
2020-06-04T00:50:34,4962
2020-06-04T00:51:39,4958
2020-06-04T00:52:44,4961
2020-06-04T00:53:49,4963
2020-06-04T00:55:59,4957
2020-06-04T00:57:04,4956
2020-06-04T00:58:09,4954
2020-06-04T00:59:14,4968
2020-06-04T01:00:19,4964
2020-06-04T01:01:24,4962
2020-06-04T01:02:29,4964
2020-06-04T01:03:34,4963
2020-06-04T01:05:44,4959
2020-06-04T01:08:59,4961
2020-06-04T01:10:04,4961
2020-06-04T01:11:09,4960
2020-06-04T01:12:14,4958
2020-06-04T01:14:24,4960
2020-06-04T01:15:29,4960
2020-06-04T01:16:34,4961
2020-06-04T01:17:39,4962
2020-06-04T01:19:49,4961
2020-06-04T01:21:59,4961
2020-06-04T01:23:04,4963
2020-06-04T01:24:09,4961
2020-06-04T01:27:24,4962
2020-06-04T01:28:29,4963
2020-06-04T01:29:34,4961
2020-06-04T01:30:39,4962
2020-06-04T01:31:44,4960
2020-06-04T01:32:49,4967
2020-06-04T01:33:54,4960
2020-06-04T01:34:59,4964
2020-06-04T01:37:09,4965
2020-06-04T01:38:14,4963
2020-06-04T01:42:34,4956
2020-06-04T01:43:39,4961
2020-06-04T01:44:44,4962
2020-06-04T01:45:49,4960
2020-06-04T01:46:54,4963
2020-06-04T01:47:59,4962
2020-06-04T01:49:04,4962
2020-06-04T01:50:09,4964
2020-06-04T01:51:14,4957
2020-06-04T01:53:24,4960
2020-06-04T01:56:39,4961
2020-06-04T01:58:49,4961
2020-06-04T01:59:54,4962
2020-06-04T02:01:00,4961
2020-06-04T02:02:05,4963
2020-06-04T02:03:10,4963
2020-06-04T02:04:15,4955
2020-06-04T02:05:20,4965
2020-06-04T02:06:25,4962
2020-06-04T02:07:30,4962
2020-06-04T02:08:35,4967
2020-06-04T02:09:40,4973
2020-06-04T02:10:45,4945
2020-06-04T02:11:50,4967
2020-06-04T02:12:55,4984
2020-06-04T02:14:00,4974
2020-06-04T02:15:05,4974
2020-06-04T02:16:10,4975
2020-06-04T02:17:15,4972
2020-06-04T02:19:25,4970
2020-06-04T02:20:30,4973
2020-06-04T02:21:35,4971
2020-06-04T02:22:39,4968
2020-06-04T02:23:44,4989
2020-06-04T02:24:49,4980
2020-06-04T02:25:54,4983
2020-06-04T02:26:59,4974
2020-06-04T02:28:04,4990
2020-06-04T02:29:09,4994
2020-06-04T02:30:14,4988
2020-06-04T02:32:24,4996
2020-06-04T02:33:29,4996
2020-06-04T02:34:34,5000
2020-06-04T02:35:39,4986
2020-06-04T02:36:44,4989
2020-06-04T02:37:49,4989
2020-06-04T02:38:54,4989
2020-06-04T02:41:04,5009
2020-06-04T02:42:09,5007
2020-06-04T02:44:19,4991
2020-06-04T02:45:24,5006
2020-06-04T02:46:29,5010
2020-06-04T02:47:34,5010
2020-06-04T02:48:39,5011
