date,value
2020-06-04T00:50:34,7426
2020-06-04T00:51:39,7426
2020-06-04T00:52:44,7427
2020-06-04T00:55:59,7441
2020-06-04T00:57:04,7444
2020-06-04T00:58:09,7446
2020-06-04T01:00:19,7435
2020-06-04T01:01:24,7457
2020-06-04T01:02:29,7484
2020-06-04T01:03:34,7452
2020-06-04T01:04:39,7485
2020-06-04T01:05:44,7454
2020-06-04T01:06:49,7442
2020-06-04T01:07:54,7441
2020-06-04T01:08:59,7442
2020-06-04T01:10:04,7445
2020-06-04T01:11:09,7433
2020-06-04T01:12:14,7434
2020-06-04T01:13:19,7432
2020-06-04T01:18:44,7435
2020-06-04T01:19:49,7451
2020-06-04T01:20:54,7449
2020-06-04T01:21:59,7450
2020-06-04T01:23:04,7445
2020-06-04T01:24:09,7478
2020-06-04T01:25:14,7476
2020-06-04T01:26:19,7469
2020-06-04T01:27:24,7464
2020-06-04T01:29:34,7461
2020-06-04T01:30:39,7471
2020-06-04T01:31:44,7457
2020-06-04T01:32:49,7473
2020-06-04T01:33:54,7473
2020-06-04T01:34:59,7469
2020-06-04T01:37:09,7481
2020-06-04T01:39:19,7472
2020-06-04T01:40:24,7470
2020-06-04T01:41:29,7472
2020-06-04T01:42:34,7473
2020-06-04T01:43:39,7473
2020-06-04T01:45:49,7505
2020-06-04T01:46:54,7487
2020-06-04T01:47:59,7497
2020-06-04T01:49:04,7490
2020-06-04T01:50:09,7488
2020-06-04T01:51:14,7490
2020-06-04T01:53:24,7488
2020-06-04T01:55:34,7490
2020-06-04T01:56:39,7481
2020-06-04T01:57:44,7475
2020-06-04T01:58:49,7487
2020-06-04T01:59:54,7488
2020-06-04T02:01:00,7488
2020-06-04T02:04:15,7494
2020-06-04T02:05:20,7490
2020-06-04T02:06:25,7563
2020-06-04T02:07:30,7535
2020-06-04T02:08:35,7530
2020-06-04T02:09:40,7493
2020-06-04T02:10:45,7616
2020-06-04T02:11:50,7541
2020-06-04T02:12:55,7464
2020-06-04T02:16:10,7472
2020-06-04T02:17:15,7418
2020-06-04T02:18:20,7421
2020-06-04T02:19:25,7461
2020-06-04T02:20:30,7461
2020-06-04T02:21:35,7457
2020-06-04T02:22:40,7466
2020-06-04T02:23:44,7469
2020-06-04T02:24:49,7452
2020-06-04T02:25:54,7460
2020-06-04T02:26:59,7545
2020-06-04T02:28:04,7569
2020-06-04T02:29:09,7620
2020-06-04T02:30:14,7588
2020-06-04T02:32:24,7567
2020-06-04T02:33:29,7556
2020-06-04T02:34:34,7534
2020-06-04T02:35:39,7562
2020-06-04T02:36:44,7574
2020-06-04T02:37:49,7552
2020-06-04T02:38:54,7558
2020-06-04T02:41:04,7552
2020-06-04T02:42:09,7529
2020-06-04T02:43:14,7552
2020-06-04T02:45:24,7565
2020-06-04T02:46:29,7545
2020-06-04T02:47:34,7529
2020-06-04T02:48:40,7519
