date,value
2020-06-11T02:38:31,4588256
2020-06-11T02:39:31,4588256
2020-06-11T02:40:32,4588264
2020-06-11T02:41:32,4591516
2020-06-11T02:42:33,4591518
2020-06-11T02:43:33,4591520
2020-06-11T02:44:34,4591522
2020-06-11T02:45:34,4591524
2020-06-11T02:46:35,4591526
2020-06-11T02:47:35,4591526
2020-06-11T02:48:36,4591528
2020-06-11T02:49:36,4591978
2020-06-11T02:50:37,4591986
2020-06-11T02:51:37,4591986
2020-06-11T02:52:38,4597988
2020-06-11T02:53:38,4597990
2020-06-11T02:54:39,4597992
2020-06-11T02:55:39,4597994
2020-06-11T02:56:40,4597996
2020-06-11T02:57:40,4597996
2020-06-11T02:58:41,4597998
2020-06-11T02:59:41,4611372
2020-06-11T03:00:42,4611380
2020-06-11T03:01:42,4611380
2020-06-11T03:02:43,4611382
2020-06-11T03:03:43,4611384
2020-06-11T03:04:44,4611386
2020-06-11T03:05:44,4611388
2020-06-11T03:06:45,4611390
2020-06-11T03:07:45,4611390
2020-06-11T03:08:45,4611392
2020-06-11T03:09:46,4611392
2020-06-11T03:10:46,4611400
2020-06-11T03:11:47,4615656
2020-06-11T03:12:47,4615658
2020-06-11T03:13:48,4615660
2020-06-11T03:14:48,4615662
2020-06-11T03:15:49,4615664
2020-06-11T03:16:49,4615666
2020-06-11T03:17:50,4615816
2020-06-11T03:18:50,4615818
2020-06-11T03:19:51,4615818
2020-06-11T03:20:51,4615826
2020-06-11T03:21:52,4615826
2020-06-11T03:22:52,4615966
2020-06-11T03:23:53,4623080
2020-06-11T03:24:53,4623080
2020-06-11T03:25:54,4625868
2020-06-11T03:26:54,4625866
2020-06-11T03:27:55,4625866
2020-06-11T03:28:55,4625864
2020-06-11T03:29:56,4625864
2020-06-11T03:30:56,4625856
2020-06-11T03:31:57,4615148
2020-06-11T03:32:57,4610504
2020-06-11T03:33:58,4610502
2020-06-11T03:34:58,4610500
2020-06-11T03:35:59,4610498
2020-06-11T03:36:59,4610496
2020-06-11T03:38:00,4610496
