date,Binance,Bitmex,Huobi
2020-06-12T18:20,51418,51418,51418
2020-06-12T18:30,51161,51161,51161
2020-06-12T18:40,51339,51339,51339
2020-06-12T18:50,51339,51339,51339
2020-06-12T19:00,51255,51255,51255
2020-06-12T19:10,50964,50964,50964
2020-06-11T19:10,48513,48513,48513
2020-06-11T19:20,48310,48310,48310
2020-06-11T19:30,48310,48310,48310
2020-06-11T19:40,48517,48517,48517
2020-06-11T19:50,48578,48578,48578
2020-06-11T20:00,48578,48578,48578
2020-06-11T20:10,48342,48342,48342
2020-06-11T20:20,48735,48735,48735
2020-06-11T20:30,48735,48735,48735
2020-06-11T20:40,48759,48759,48759
2020-06-11T20:50,48598,48598,48598
2020-06-11T21:00,48598,48598,48598
2020-06-11T21:10,48476,48476,48476
2020-06-11T21:20,48415,48415,48415
2020-06-11T21:30,48415,48415,48415
2020-06-11T21:40,48396,48396,48396
2020-06-11T21:50,48424,48424,48424
2020-06-11T22:00,48424,48424,48424
2020-06-11T22:10,48262,48262,48262
2020-06-11T22:20,48596,48596,48596
2020-06-11T22:30,48596,48596,48596
2020-06-11T22:40,48557,48557,48557
2020-06-11T22:50,48532,48532,48532
2020-06-11T23:00,48532,48532,48532
2020-06-11T23:10,48087,48087,48087
2020-06-11T23:20,48020,48020,48020
2020-06-11T23:30,48020,48020,48020
2020-06-11T23:40,47455,47455,47455
2020-06-11T23:50,47071,47071,47071
2020-06-12T00:00,47071,47071,47071
2020-06-12T00:10,46930,46930,46930
2020-06-12T00:20,47186,47186,47186
2020-06-12T00:30,47186,47186,47186
2020-06-12T00:40,47576,47576,47576
2020-06-12T00:50,48183,48183,48183
2020-06-12T01:00,48183,48183,48183
2020-06-12T01:10,48364,48364,48364
2020-06-12T01:20,48511,48511,48511
2020-06-12T01:30,48511,48511,48511
2020-06-12T01:40,48603,48603,48603
2020-06-12T01:50,48397,48397,48397
2020-06-12T02:00,48397,48397,48397
2020-06-12T02:10,48621,48621,48621
2020-06-12T02:20,48660,48660,48660
2020-06-12T02:30,48660,48660,48660
2020-06-12T02:40,48553,48553,48553
2020-06-12T02:50,48554,48554,48554
2020-06-12T03:00,48554,48554,48554
2020-06-12T03:10,48333,48333,48333
2020-06-12T03:20,47325,47325,47325
2020-06-12T03:30,47325,47325,47325
2020-06-12T03:40,47179,47179,47179
2020-06-12T03:50,47185,47185,47185
2020-06-12T04:00,47185,47185,47185
2020-06-12T04:10,47247,47247,47247
2020-06-12T04:20,47514,47514,47514
2020-06-12T04:30,47514,47514,47514
2020-06-12T04:40,47379,47379,47379
2020-06-12T04:50,47681,47681,47681
2020-06-12T05:00,47681,47681,47681
2020-06-12T05:10,47275,47275,47275
2020-06-12T05:20,47118,47118,47118
2020-06-12T05:30,47118,47118,47118
2020-06-12T05:40,46958,46958,46958
2020-06-12T05:50,46603,46603,46603
2020-06-12T06:00,46603,46603,46603
2020-06-12T06:10,47357,47357,47357
2020-06-12T06:20,47271,47271,47271
2020-06-12T06:30,47271,47271,47271
2020-06-12T06:40,47238,47238,47238
2020-06-12T06:50,47446,47446,47446
2020-06-12T07:00,47446,47446,47446
2020-06-12T07:10,47545,47545,47545
2020-06-12T07:20,47214,47214,47214
2020-06-12T07:30,47214,47214,47214
2020-06-12T07:40,47278,47278,47278
